time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
0,142,0.0,300.0,True,False,100.0,100.0
1,95,0.0,300.0,True,False,100.0,100.0
2,70,0.0,300.0,True,False,100.0,100.0
3,61,144.0,301.44,True,False,100.0,100.0
4,64,239.99999999999997,303.8328,True,False,95.0,100.0
5,63,335.99999999999994,307.17363600000004,True,False,90.0,100.0
6,66,431.99999999999994,311.4577678200001,True,False,85.0,100.0
7,61,384.0,315.2404789809001,True,False,80.0,100.0
8,77,335.99999999999994,318.5242765859956,True,False,75.0,100.0
9,86,671.9999999999999,325.1516552030656,True,False,70.0,100.0
10,90,576.0,330.7858969270503,True,False,68.45714285714286,100.0
11,88,624.0,336.87196744241504,True,False,72.57714285714286,100.0
12,87,431.99999999999994,341.00760760520296,True,False,72.37714285714286,100.0
13,79,479.99999999999994,345.60256956717694,True,False,73.03428571428572,100.0
14,93,479.99999999999994,350.17455671934107,True,False,70.12571428571428,100.0
15,110,671.9999999999999,356.6436839357444,True,False,65.12571428571428,100.0
16,106,863.9999999999999,365.0004655160657,True,False,70.12571428571428,100.0
17,112,527.9999999999999,369.95546318848534,True,False,65.12571428571428,100.0
18,115,720.0,376.80568587254294,True,False,60.12571428571428,100.0
19,117,768.0,384.1016574431802,True,False,65.12571428571428,100.0
20,113,624.0,389.9211491559643,True,False,70.12571428571428,100.0
21,118,479.99999999999994,394.2715434101845,True,False,65.12571428571428,100.0
22,119,768.0,401.4801856931336,True,False,70.12571428571428,100.0
23,122,624.0,407.2127847646679,True,False,65.12571428571428,100.0
24,123,863.9999999999999,415.31672084084454,True,False,60.12571428571428,100.0
25,109,671.9999999999999,421.4601372366403,True,False,65.12571428571428,100.0
26,121,527.9999999999999,426.1328365504571,True,False,60.12571428571428,100.0
27,111,959.9999999999999,435.10217236770484,True,False,65.12571428571428,100.0
28,103,431.99999999999994,438.7466615058663,True,False,70.12571428571428,100.0
29,92,576.0,443.812928198337,True,False,75.12571428571428,100.0
