time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01,fissions_prod_2,fissions_prod_3,fissions_prod_4,fissions_prod_5
0,134,0.0,300.0,True,False,100.0,100.0,0,0,0,0
1,92,0.0,300.0,True,False,100.0,100.0,0,0,0,0
2,63,0.0,300.0,True,False,100.0,100.0,1,0,0,0
3,52,48.0,300.48,True,False,100.0,100.0,4,0,0,0
4,64,192.0,302.3976,True,False,95.0,100.0,9,0,0,0
5,53,431.99999999999994,306.70561200000003,True,False,90.0,100.0,7,0,0,0
6,48,335.99999999999994,310.03208394,True,False,95.0,100.0,4,0,0,0
7,45,192.0,311.9019235203,True,False,100.0,100.0,5,0,0,0
8,46,239.99999999999997,314.2424139026985,True,False,95.0,100.0,7,0,0,0
9,48,335.99999999999994,317.53120183318504,True,False,90.0,100.0,5,0,0,0
10,50,239.99999999999997,319.8435458240191,True,False,85.0,100.0,5,0,0,0
11,44,239.99999999999997,322.144328094899,True,False,90.0,100.0,4,0,0,0
12,35,192.0,323.95360645442446,True,False,95.0,100.0,4,0,0,0
13,40,192.0,325.75383842215234,True,False,90.0,100.0,6,0,0,0
14,45,288.0,328.50506923004156,True,False,85.0,100.0,8,0,0,0
15,38,384.0,332.20254388389134,True,False,90.0,100.0,3,0,0,0
16,42,144.0,333.4815311644719,True,False,95.0,100.0,5,0,0,0
17,40,239.99999999999997,335.71412350864955,True,False,100.0,100.0,3,0,0,0
18,50,144.0,336.9755528911063,True,False,95.0,100.0,8,0,0,0
19,49,384.0,340.6306751266508,True,False,90.0,100.0,6,0,0,0
20,54,288.0,343.30752175101753,True,False,85.0,100.0,8,0,0,0
21,49,384.0,346.93098414226245,True,False,80.0,100.0,5,0,0,0
22,50,239.99999999999997,349.0963292215511,True,False,85.0,100.0,4,0,0,0
23,50,192.0,350.7708475754434,True,False,80.0,100.0,7,0,0,0
24,52,335.99999999999994,353.87699333756615,True,False,78.98285714285714,100.0,7,0,0,0
25,58,335.99999999999994,356.96760837087834,True,False,78.14285714285714,100.0,8,0,0,0
26,57,384.0,360.52277032902396,True,False,78.14285714285714,100.0,8,0,0,0
27,67,384.0,364.0601564773788,True,False,74.71428571428571,100.0,12,0,0,0
28,61,576.0,369.49985569499194,True,False,79.0,100.0,7,0,0,0
29,67,335.99999999999994,372.512356416517,True,False,79.0,100.0,7,0,0,0
30,73,335.99999999999994,375.5097946344344,True,False,75.57142857142857,100.0,11,0,0,0
31,68,527.9999999999999,380.4122456612622,True,False,79.0,100.0,7,0,0,0
32,53,335.99999999999994,383.3701844329559,True,False,84.0,100.0,4,0,0,0
33,53,192.0,384.87333351079116,True,False,79.0,100.0,8,0,0,0
34,54,384.0,388.2889668432372,True,False,79.85714285714286,100.0,6,0,0,0
35,64,288.0,390.727522009021,True,False,78.14285714285714,100.0,8,0,0,0
36,69,384.0,394.1138843989759,True,False,77.28571428571429,100.0,9,0,0,0
37,74,431.99999999999994,397.96331497698105,True,False,77.28571428571429,100.0,9,0,0,0
38,68,431.99999999999994,401.79349840209613,True,False,79.85714285714286,100.0,6,0,0,0
39,66,288.0,404.16453091008566,True,False,79.85714285714286,100.0,6,0,0,0
40,67,288.0,406.5237082555352,True,False,78.14285714285714,100.0,8,0,0,0
41,70,384.0,409.83108971425753,True,False,77.28571428571429,100.0,9,0,0,0
42,76,431.99999999999994,413.6019342656862,True,False,76.42857142857143,100.0,10,0,0,0
43,80,479.99999999999994,417.83392459435777,True,False,77.28571428571429,100.0,9,0,0,0
44,81,431.99999999999994,421.564754971386,True,False,77.28571428571429,100.0,9,0,0,0
45,79,431.99999999999994,425.27693119652906,True,False,77.28571428571429,100.0,9,0,0,0
46,88,431.99999999999994,428.9705465405464,True,False,73.85714285714286,100.0,13,0,0,0
47,94,624.0,434.5656938078437,True,False,73.0,100.0,14,0,0,0
48,82,671.9999999999999,440.61286533880445,True,False,78.0,100.0,8,0,0,0
49,75,384.0,443.7498010121104,True,False,78.14285714285714,100.0,7,1,0,0
50,89,384.0,446.87105200704985,True,False,74.71428571428571,100.0,12,0,0,0
51,97,576.0,451.89669674701463,True,False,69.71428571428571,100.0,15,0,0,0
