time_step,neutron_id,x,y,type
0,0,10,2,epithermal
0,2,12,4,epithermal
0,3,8,5,fast
0,4,6,14,fast
0,5,5,9,fast
0,6,10,12,fast
0,7,2,3,fast
0,11,8,7,fast
0,13,5,2,fast
0,14,13,4,fast
0,15,4,2,fast
0,16,8,6,fast
0,18,2,12,epithermal
0,20,4,9,epithermal
0,22,4,3,fast
0,23,10,5,fast
0,24,13,10,epithermal
0,25,11,12,epithermal
0,27,5,12,fast
0,28,11,13,fast
0,30,10,12,fast
0,31,11,6,epithermal
0,33,6,10,epithermal
0,34,0,12,fast
0,35,1,10,fast
0,36,10,14,fast
0,38,5,12,fast
0,39,14,5,fast
0,40,10,4,fast
0,41,11,14,epithermal
0,43,14,7,epithermal
0,44,8,11,fast
0,45,9,11,fast
0,47,8,4,fast
0,50,2,5,fast
0,51,3,2,fast
0,54,6,8,epithermal
0,56,3,1,epithermal
0,58,6,3,fast
0,59,11,4,fast
0,60,3,0,epithermal
0,61,1,9,fast
0,62,8,8,epithermal
0,63,1,10,epithermal
0,64,1,14,fast
0,65,10,0,fast
0,66,5,5,fast
0,67,5,4,fast
0,70,2,10,fast
0,72,1,8,epithermal
0,74,8,13,epithermal
0,75,3,7,epithermal
0,76,4,14,fast
0,77,1,3,epithermal
0,79,6,8,fast
0,80,4,8,fast
0,81,8,4,fast
0,82,12,6,fast
0,83,10,2,epithermal
0,84,7,5,fast
0,87,12,13,fast
0,88,7,11,fast
0,90,14,9,fast
0,92,6,3,fast
0,94,2,12,fast
0,95,0,4,epithermal
0,96,9,8,fast
0,97,10,2,fast
0,99,6,11,fast
0,101,14,10,fast
0,102,8,3,fast
0,106,5,7,epithermal
0,107,11,0,fast
0,108,2,1,fast
0,112,0,2,epithermal
0,113,6,12,fast
0,114,5,11,fast
0,116,12,12,epithermal
0,118,10,12,fast
0,120,7,14,epithermal
0,121,2,8,fast
0,123,2,2,fast
0,125,6,3,fast
0,126,5,5,epithermal
0,128,0,14,fast
0,129,4,7,fast
0,130,9,5,fast
0,131,1,2,fast
0,132,9,11,fast
0,133,2,11,epithermal
0,134,3,9,fast
0,135,10,10,fast
0,137,3,3,fast
0,140,9,13,fast
0,141,13,4,fast
0,144,7,13,epithermal
0,145,7,14,fast
0,146,8,12,fast
0,147,4,11,epithermal
0,148,4,6,epithermal
0,149,0,7,fast
0,150,12,13,fast
0,152,11,14,fast
0,154,0,14,epithermal
0,157,5,6,fast
0,160,9,6,fast
0,161,5,11,fast
0,163,9,2,fast
0,164,13,0,epithermal
0,165,5,2,epithermal
0,167,11,3,fast
0,168,0,7,fast
0,169,8,6,fast
0,172,7,0,fast
0,173,4,1,fast
0,175,13,8,fast
0,177,13,8,fast
0,179,6,14,fast
0,180,10,7,epithermal
0,183,1,10,fast
0,184,10,9,fast
0,185,2,1,fast
0,188,9,1,fast
0,189,10,2,fast
0,192,9,6,fast
0,193,0,7,fast
0,194,5,5,fast
0,195,1,1,epithermal
0,196,12,2,epithermal
0,197,8,8,fast
0,198,13,3,fast
0,199,1,11,fast
1,0,8,3,epithermal
1,2,14,2,thermal
1,6,8,10,fast
1,7,3,3,epithermal
1,13,5,0,fast
1,15,5,1,fast
1,16,10,5,fast
1,20,6,10,thermal
1,22,5,2,fast
1,23,8,5,fast
1,24,11,10,thermal
1,25,9,12,thermal
1,28,11,11,fast
1,30,11,12,epithermal
1,31,11,5,thermal
1,33,6,9,thermal
1,34,0,14,fast
1,38,3,14,epithermal
1,40,10,5,fast
1,45,11,11,fast
1,47,10,4,epithermal
1,56,3,0,epithermal
1,58,4,3,epithermal
1,59,10,4,fast
1,61,0,9,epithermal
1,62,9,8,epithermal
1,63,2,10,epithermal
1,64,3,13,fast
1,66,4,5,fast
1,67,6,4,fast
1,75,4,8,epithermal
1,76,2,13,fast
1,79,5,6,fast
1,80,2,6,fast
1,81,9,4,fast
1,82,13,5,fast
1,84,6,6,epithermal
1,88,6,12,fast
1,90,13,7,fast
1,94,4,11,fast
1,96,7,8,epithermal
1,97,9,4,fast
1,99,5,12,epithermal
1,101,13,10,fast
1,102,10,5,fast
1,106,7,9,epithermal
1,107,12,2,fast
1,113,4,13,fast
1,114,6,10,fast
1,116,10,13,epithermal
1,118,9,13,fast
1,121,0,6,fast
1,123,4,4,fast
1,125,5,3,fast
1,126,4,5,epithermal
1,129,5,6,epithermal
1,130,11,5,fast
1,133,1,13,thermal
1,134,4,9,fast
1,135,10,8,fast
1,137,1,2,fast
1,141,14,6,epithermal
1,144,7,14,epithermal
1,146,10,14,fast
1,147,3,9,thermal
1,148,4,5,epithermal
1,150,13,11,epithermal
1,157,3,7,fast
1,160,9,7,fast
1,161,4,12,epithermal
1,163,8,4,epithermal
1,164,14,0,epithermal
1,165,7,1,thermal
1,169,9,7,fast
1,172,6,2,epithermal
1,173,5,3,fast
1,175,11,8,epithermal
1,177,14,7,fast
1,180,11,7,epithermal
1,183,1,12,epithermal
1,184,11,11,fast
1,185,3,2,fast
1,189,11,2,fast
1,194,6,3,fast
1,195,3,2,thermal
1,196,14,1,epithermal
1,197,10,10,fast
1,199,1,10,epithermal
2,200,11,5,fast
2,201,11,5,fast
2,202,6,9,fast
2,203,6,9,fast
2,204,3,2,fast
2,205,3,2,fast
2,0,9,3,thermal
2,2,12,2,thermal
2,6,9,8,epithermal
2,13,3,0,fast
2,16,10,3,fast
2,24,13,10,thermal
2,25,11,13,thermal
2,30,10,11,thermal
2,31,11,5,thermal
2,33,6,9,thermal
2,34,1,14,fast
2,40,9,3,fast
2,45,13,11,fast
2,58,6,4,epithermal
2,59,10,6,fast
2,62,11,9,epithermal
2,63,2,9,epithermal
2,64,3,12,fast
2,67,7,5,fast
2,75,5,8,epithermal
2,79,7,6,fast
2,81,7,2,epithermal
2,82,11,4,fast
2,84,6,5,thermal
2,88,5,10,fast
2,90,11,9,epithermal
2,94,4,13,fast
2,96,8,6,epithermal
2,97,9,3,fast
2,102,12,4,epithermal
2,106,9,7,thermal
2,107,11,2,epithermal
2,114,4,10,fast
2,118,8,13,epithermal
2,121,0,7,fast
2,123,6,2,fast
2,125,3,4,fast
2,129,3,6,thermal
2,130,13,5,fast
2,133,3,11,thermal
2,134,4,11,epithermal
2,135,11,6,fast
2,137,0,2,fast
2,147,1,8,thermal
2,150,12,10,epithermal
2,160,10,6,fast
2,161,6,10,epithermal
2,169,7,6,fast
2,172,4,0,epithermal
2,173,6,1,fast
2,177,13,8,fast
2,180,9,8,thermal
2,183,3,14,epithermal
2,189,12,2,fast
2,194,4,3,fast
2,195,3,2,thermal
2,199,2,12,epithermal
3,206,11,5,fast
3,207,11,5,fast
3,208,6,9,fast
3,209,6,9,fast
3,210,3,6,fast
3,211,3,6,fast
3,212,9,8,fast
3,213,9,8,fast
3,214,3,2,fast
3,215,3,2,fast
3,200,11,4,epithermal
3,201,13,4,fast
3,202,5,10,epithermal
3,203,8,11,fast
3,204,3,3,fast
3,205,5,1,fast
3,0,7,2,thermal
3,2,13,3,thermal
3,6,8,8,thermal
3,16,9,3,fast
3,25,9,11,thermal
3,31,11,5,thermal
3,33,6,9,thermal
3,34,3,12,fast
3,40,7,4,fast
3,45,13,12,fast
3,58,5,4,epithermal
3,62,11,11,thermal
3,63,1,11,epithermal
3,64,3,13,fast
3,67,5,6,fast
3,79,8,7,fast
3,81,6,3,thermal
3,82,13,5,epithermal
3,84,4,5,thermal
3,88,5,12,fast
3,90,11,10,thermal
3,96,6,6,thermal
3,97,8,2,fast
3,102,14,5,thermal
3,106,10,9,thermal
3,118,7,13,thermal
3,121,0,6,fast
3,125,5,3,fast
3,129,3,6,thermal
3,130,13,4,fast
3,133,3,10,thermal
3,134,4,12,epithermal
3,135,11,8,fast
3,137,0,0,fast
3,150,12,12,epithermal
3,160,9,4,fast
3,169,9,7,fast
3,172,2,1,epithermal
3,177,14,9,epithermal
3,180,9,8,thermal
3,183,2,14,thermal
3,194,3,1,epithermal
3,195,3,2,thermal
3,199,3,14,thermal
4,216,7,2,fast
4,217,7,2,fast
4,218,13,3,fast
4,219,13,3,fast
4,220,11,5,fast
4,221,11,5,fast
4,222,6,9,fast
4,223,6,9,fast
4,224,11,11,fast
4,225,11,11,fast
4,226,11,10,fast
4,227,11,10,fast
4,228,10,9,fast
4,229,10,9,fast
4,230,2,14,fast
4,231,2,14,fast
4,206,12,5,fast
4,207,10,5,fast
4,208,5,7,fast
4,211,5,6,fast
4,213,9,9,epithermal
4,214,4,2,fast
4,215,5,2,fast
4,200,9,4,thermal
4,201,12,4,fast
4,202,5,11,thermal
4,203,9,11,fast
4,204,5,4,fast
4,205,5,3,fast
4,0,7,2,thermal
4,2,13,3,thermal
4,6,6,7,thermal
4,16,10,5,fast
4,25,9,9,thermal
4,31,11,5,thermal
4,33,6,9,thermal
4,34,4,12,fast
4,45,14,11,fast
4,58,7,6,epithermal
4,62,11,11,thermal
4,79,6,9,fast
4,81,5,3,thermal
4,84,5,5,thermal
4,88,4,11,epithermal
4,90,11,10,thermal
4,96,8,6,thermal
4,97,8,0,fast
4,102,12,5,thermal
4,106,10,9,thermal
4,121,0,5,fast
4,125,3,3,fast
4,129,2,5,thermal
4,133,1,8,thermal
4,134,6,12,epithermal
4,135,12,7,fast
4,150,12,14,epithermal
4,160,9,2,epithermal
4,169,8,7,epithermal
4,172,2,0,epithermal
4,180,7,8,thermal
4,183,2,14,thermal
4,194,1,2,epithermal
4,195,2,1,thermal
4,199,5,14,thermal
5,232,5,11,fast
5,233,5,11,fast
5,234,7,2,fast
5,235,7,2,fast
5,236,6,7,fast
5,237,6,7,fast
5,238,11,5,fast
5,239,11,5,fast
5,240,11,11,fast
5,241,11,11,fast
5,242,5,3,fast
5,243,5,3,fast
5,244,8,6,fast
5,245,8,6,fast
5,246,1,8,fast
5,247,1,8,fast
5,248,7,8,fast
5,249,7,8,fast
5,250,2,14,fast
5,251,2,14,fast
5,252,2,1,fast
5,253,2,1,fast
5,216,8,0,epithermal
5,217,8,1,epithermal
5,218,13,2,epithermal
5,219,11,4,fast
5,220,12,5,fast
5,221,9,5,fast
5,222,4,11,fast
5,223,7,7,epithermal
5,224,13,11,fast
5,225,11,12,epithermal
5,226,12,10,fast
5,227,12,11,fast
5,228,11,10,fast
5,230,3,14,epithermal
5,231,0,14,epithermal
5,206,14,4,epithermal
5,207,9,5,fast
5,213,8,11,thermal
5,214,3,2,epithermal
5,200,7,4,thermal
5,201,11,6,fast
5,202,5,11,thermal
5,203,8,10,fast
5,204,4,4,fast
5,205,6,1,epithermal
5,0,7,2,thermal
5,2,11,3,thermal
5,6,6,7,thermal
5,16,9,4,fast
5,31,11,5,thermal
5,34,5,12,fast
5,45,13,10,fast
5,58,5,4,epithermal
5,62,11,11,thermal
5,81,5,3,thermal
5,84,5,3,thermal
5,88,4,9,epithermal
5,90,9,11,thermal
5,96,8,6,thermal
5,97,6,1,fast
5,102,13,7,thermal
5,106,8,7,thermal
5,125,3,2,fast
5,129,3,6,thermal
5,133,1,8,thermal
5,134,6,11,thermal
5,160,10,3,epithermal
5,172,2,1,thermal
5,180,7,8,thermal
5,183,2,14,thermal
5,194,2,3,thermal
5,195,2,1,thermal
6,254,8,11,fast
6,255,8,11,fast
6,256,5,3,fast
6,257,5,3,fast
6,258,8,6,fast
6,259,8,6,fast
6,260,8,7,fast
6,261,8,7,fast
6,262,3,6,fast
6,263,3,6,fast
6,264,1,8,fast
6,265,1,8,fast
6,266,6,11,fast
6,267,6,11,fast
6,268,2,14,fast
6,269,2,14,fast
6,270,2,3,fast
6,271,2,3,fast
6,272,2,1,fast
6,273,2,1,fast
6,232,5,13,fast
6,233,7,9,epithermal
6,234,7,1,fast
6,235,6,2,fast
6,236,4,7,fast
6,237,6,8,fast
6,238,12,4,fast
6,240,13,13,fast
6,241,11,12,fast
6,242,3,2,fast
6,243,4,2,epithermal
6,244,10,6,epithermal
6,245,8,7,fast
6,248,8,8,fast
6,249,7,7,epithermal
6,251,4,12,epithermal
6,253,1,3,epithermal
6,217,9,1,epithermal
6,218,12,4,thermal
6,219,12,4,fast
6,220,13,6,fast
6,221,11,3,fast
6,222,3,12,fast
6,223,6,7,epithermal
6,224,13,12,fast
6,225,10,11,epithermal
6,227,12,9,epithermal
6,228,9,11,fast
6,206,13,5,epithermal
6,207,10,5,fast
6,213,8,11,thermal
6,200,8,2,thermal
6,201,13,7,fast
6,203,6,10,fast
6,204,6,4,fast
6,0,6,2,thermal
6,2,10,5,thermal
6,6,6,9,thermal
6,31,11,4,thermal
6,45,13,12,epithermal
6,58,4,3,epithermal
6,62,10,9,thermal
6,84,5,3,thermal
6,96,8,6,thermal
6,97,7,3,fast
6,102,11,8,thermal
6,106,8,7,thermal
6,125,1,3,epithermal
6,129,3,6,thermal
6,133,1,8,thermal
6,134,6,11,thermal
6,160,11,2,epithermal
6,180,8,8,thermal
6,183,2,14,thermal
6,194,2,3,thermal
6,195,2,1,thermal
7,274,12,4,fast
7,275,12,4,fast
7,276,8,2,fast
7,277,8,2,fast
7,278,6,2,fast
7,279,6,2,fast
7,280,10,5,fast
7,281,10,5,fast
7,282,6,9,fast
7,283,6,9,fast
7,284,11,8,fast
7,285,11,8,fast
7,286,8,7,fast
7,287,8,7,fast
7,288,1,8,fast
7,289,1,8,fast
7,290,8,8,fast
7,291,8,8,fast
7,292,2,3,fast
7,293,2,3,fast
7,254,6,11,epithermal
7,255,8,9,epithermal
7,256,7,3,fast
7,257,4,5,fast
7,258,7,4,fast
7,261,7,7,epithermal
7,262,1,5,epithermal
7,265,0,10,epithermal
7,267,5,11,fast
7,270,1,3,fast
7,271,4,1,fast
7,272,3,1,fast
7,273,2,2,fast
7,232,3,13,fast
7,233,6,7,epithermal
7,235,4,3,fast
7,237,5,8,fast
7,238,12,3,fast
7,242,3,0,epithermal
7,243,4,1,epithermal
7,244,10,4,epithermal
7,245,7,6,fast
7,248,6,9,fast
7,253,3,4,epithermal
7,217,8,1,thermal
7,218,12,4,thermal
7,219,12,5,fast
7,220,14,8,fast
7,221,11,5,fast
7,222,1,13,fast
7,223,6,6,thermal
7,225,10,10,thermal
7,227,10,9,epithermal
7,228,8,12,fast
7,206,13,7,epithermal
7,207,11,6,fast
7,200,8,2,thermal
7,201,14,8,epithermal
7,203,6,12,fast
7,0,6,2,thermal
7,2,10,5,thermal
7,6,6,9,thermal
7,31,10,4,thermal
7,58,4,5,epithermal
7,84,3,1,thermal
7,97,9,1,epithermal
7,102,11,8,thermal
7,106,8,7,thermal
7,125,3,2,thermal
7,133,1,8,thermal
7,134,6,12,thermal
7,180,8,8,thermal
7,183,1,13,thermal
7,194,2,3,thermal
7,195,2,3,thermal
8,294,12,4,fast
8,295,12,4,fast
8,296,6,2,fast
8,297,6,2,fast
8,298,10,5,fast
8,299,10,5,fast
8,300,10,4,fast
8,301,10,4,fast
8,302,3,1,fast
8,303,3,1,fast
8,304,8,7,fast
8,305,8,7,fast
8,306,3,2,fast
8,307,3,2,fast
8,308,6,12,fast
8,309,6,12,fast
8,310,2,3,fast
8,311,2,3,fast
8,312,2,3,fast
8,313,2,3,fast
8,274,12,6,fast
8,278,7,0,epithermal
8,279,5,1,fast
8,280,9,5,epithermal
8,281,11,7,epithermal
8,283,6,10,fast
8,284,10,7,fast
8,286,8,5,fast
8,287,7,9,fast
8,288,0,8,fast
8,289,2,8,fast
8,292,0,2,fast
8,293,1,3,fast
8,255,8,11,epithermal
8,256,7,1,fast
8,258,9,4,fast
8,261,7,5,epithermal
8,262,1,3,epithermal
8,265,0,8,epithermal
8,267,4,9,fast
8,270,1,1,fast
8,272,3,2,fast
8,273,0,1,fast
8,232,1,11,fast
8,235,6,1,fast
8,237,5,9,fast
8,238,10,3,fast
8,243,4,0,epithermal
8,245,8,5,fast
8,248,4,9,fast
8,253,3,6,epithermal
8,218,12,4,thermal
8,219,12,6,fast
8,220,14,10,fast
8,221,9,6,fast
8,223,8,6,thermal
8,225,10,11,thermal
8,227,10,7,thermal
8,228,6,10,fast
8,206,14,7,thermal
8,207,13,7,fast
8,200,10,2,thermal
8,203,6,14,epithermal
8,0,6,2,thermal
8,2,10,5,thermal
8,6,7,9,thermal
8,31,10,4,thermal
8,84,3,1,thermal
8,97,8,3,thermal
8,106,8,7,thermal
8,125,3,2,thermal
8,134,6,12,thermal
8,183,0,12,thermal
8,194,2,3,thermal
8,195,2,3,thermal
9,314,8,6,fast
9,315,8,6,fast
9,316,10,7,fast
9,317,10,7,fast
9,318,10,4,fast
9,319,10,4,fast
9,320,3,1,fast
9,321,3,1,fast
9,322,8,3,fast
9,323,8,3,fast
9,324,0,12,fast
9,325,0,12,fast
9,294,14,5,fast
9,295,14,4,fast
9,297,6,3,fast
9,298,9,5,epithermal
9,299,10,4,fast
9,300,11,4,fast
9,304,9,9,fast
9,306,3,4,fast
9,307,5,0,epithermal
9,309,7,11,fast
9,310,0,4,fast
9,311,1,3,fast
9,313,4,3,fast
9,274,11,6,fast
9,278,9,2,epithermal
9,279,7,0,fast
9,281,11,9,epithermal
9,283,5,11,fast
9,284,10,5,fast
9,286,8,6,fast
9,287,8,9,fast
9,288,2,7,epithermal
9,293,0,3,fast
9,255,7,12,epithermal
9,256,8,3,epithermal
9,258,9,5,epithermal
9,261,7,6,epithermal
9,262,0,2,epithermal
9,265,2,7,thermal
9,267,4,11,epithermal
9,272,5,4,fast
9,232,1,9,fast
9,237,7,11,epithermal
9,238,8,4,fast
9,248,5,10,fast
9,253,5,6,epithermal
9,218,10,3,thermal
9,219,14,8,fast
9,221,9,8,epithermal
9,223,8,6,thermal
9,225,12,12,thermal
9,227,10,7,thermal
9,228,6,8,fast
9,206,14,8,thermal
9,207,12,9,fast
9,200,12,2,thermal
9,0,4,2,thermal
9,2,11,7,thermal
9,6,7,10,thermal
9,31,10,4,thermal
9,84,3,1,thermal
9,97,8,3,thermal
9,125,1,3,thermal
9,183,0,12,thermal
9,194,4,1,thermal
9,195,1,3,thermal
