time_step,neutron_id,x,y,type
0,0,4,6,epithermal
0,1,9,10,fast
0,2,2,4,fast
0,4,9,10,fast
0,5,10,4,fast
0,6,8,5,fast
0,8,8,10,fast
0,9,9,5,epithermal
0,11,5,10,epithermal
0,12,10,4,fast
0,13,9,8,fast
0,15,11,5,fast
0,16,5,12,fast
0,17,8,9,fast
0,18,3,3,fast
0,19,10,3,epithermal
0,20,3,2,fast
0,21,1,3,epithermal
0,22,8,2,fast
0,23,1,10,fast
0,24,9,9,fast
0,25,10,3,fast
0,26,12,9,fast
0,29,8,9,epithermal
0,30,10,10,fast
0,31,5,9,epithermal
0,32,8,7,fast
0,33,4,12,fast
0,34,6,8,fast
0,35,11,5,fast
0,36,5,7,fast
0,38,3,0,fast
0,39,13,8,fast
0,41,2,10,fast
0,42,6,7,fast
0,43,9,6,fast
0,44,8,3,fast
0,47,10,11,fast
0,48,9,13,epithermal
0,49,3,7,fast
0,50,2,7,fast
0,51,5,1,fast
0,53,12,7,fast
0,54,10,1,fast
0,55,1,5,epithermal
0,56,5,4,epithermal
0,57,8,6,fast
0,58,2,4,fast
0,62,2,9,fast
0,67,3,10,epithermal
0,68,3,4,epithermal
0,69,9,5,fast
0,70,11,8,fast
0,71,11,9,fast
0,72,13,6,fast
0,73,9,3,fast
0,76,12,10,epithermal
0,77,10,11,fast
0,79,4,4,fast
0,80,8,10,fast
0,81,2,6,fast
0,83,11,1,fast
0,84,9,13,fast
0,85,14,2,fast
0,86,8,14,fast
0,87,12,7,fast
0,88,9,1,fast
0,89,4,2,fast
0,91,3,7,fast
0,92,9,11,epithermal
0,93,2,4,epithermal
0,94,7,8,epithermal
0,95,10,10,fast
0,100,9,10,fast
0,101,1,7,epithermal
0,103,8,12,fast
0,104,0,8,epithermal
0,105,11,8,fast
0,106,8,5,fast
0,107,6,13,fast
0,109,3,1,fast
0,112,8,4,fast
0,113,9,9,fast
0,114,5,13,fast
0,116,9,0,fast
0,117,4,7,fast
0,119,5,13,fast
0,120,8,8,epithermal
0,122,14,8,fast
0,124,2,7,epithermal
0,125,9,1,epithermal
0,128,10,3,epithermal
0,131,9,0,fast
0,132,8,2,epithermal
0,133,12,9,fast
0,135,9,1,epithermal
0,136,3,7,epithermal
0,137,8,3,fast
0,138,13,4,epithermal
0,141,4,0,epithermal
0,142,1,8,fast
0,143,10,1,fast
0,144,12,11,epithermal
0,145,2,2,fast
0,146,8,5,fast
0,148,10,0,fast
0,149,8,4,fast
0,150,10,14,fast
0,151,2,0,fast
0,152,10,4,fast
0,153,8,11,fast
0,154,12,3,epithermal
0,157,14,7,fast
0,159,11,5,fast
0,162,2,11,fast
0,164,1,14,fast
0,165,9,5,fast
0,166,8,7,fast
0,167,3,5,fast
0,169,8,3,fast
0,172,5,14,fast
0,173,4,4,fast
0,174,12,4,epithermal
0,175,11,8,fast
0,176,3,5,fast
0,177,9,5,fast
0,181,4,9,fast
0,182,12,6,fast
0,183,1,1,fast
0,186,9,5,fast
0,187,2,9,fast
0,188,6,11,fast
