time_step,nb_neutrons,power_mw,temperature_k
0,139,0.0,300.0
1,106,0.0,300.0
2,80,0.0,300.0
3,69,96.0,300.96
4,75,431.99999999999994,305.2752
5,59,479.99999999999994,310.04882399999997
6,55,239.99999999999997,312.39857987999994
7,59,527.9999999999999,317.61658698059995
8,65,479.99999999999994,322.32850404569695
9,52,624.0,328.45686152546847
10,46,192.0,330.23457721784115
11,56,239.99999999999997,332.48340433175196
12,55,527.9999999999999,337.6009873100932
13,50,479.99999999999994,342.21298237354273
14,65,192.0,343.92191746167504
15,59,576.0,349.4623078743667
16,57,431.99999999999994,353.53499633499484
17,47,384.0,357.1073213533199
18,42,192.0,358.74178474655326
19,39,239.99999999999997,360.8480758228205
