time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
0,140,0.0,300.0,True,False,100.0,100.0
1,93,0.0,300.0,True,False,100.0,100.0
2,74,0.0,300.0,True,False,100.0,100.0
3,75,144.0,301.44,True,False,95.0,100.0
4,77,384.0,305.2728,True,False,90.0,100.0
5,73,431.99999999999994,309.566436,True,False,85.0,100.0
6,91,288.0,312.39860382,True,False,80.0,100.0
7,97,720.0,319.5366108009,True,False,75.0,100.0
8,98,576.0,325.1989277468955,True,False,70.0,100.0
9,100,576.0,330.832933108161,True,False,69.58285714285714,100.0
