time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
0,135,0.0,300.0,True,False,99.85,100.0
1,89,0.0,300.0,True,False,99.69999999999999,100.0
2,80,0.0,300.0,True,False,99.54999999999998,100.0
3,69,288.0,302.88,True,False,99.39999999999998,100.0
4,62,335.99999999999994,306.2256,True,False,99.24999999999997,100.0
5,53,335.99999999999994,309.554472,True,False,99.09999999999997,100.0
6,54,144.0,310.94669963999996,True,False,98.94999999999996,100.0
7,64,335.99999999999994,314.2519661418,True,False,98.79999999999995,100.0
8,61,624.0,320.420706311091,True,False,98.64999999999995,100.0
9,60,431.99999999999994,324.6386027795356,True,False,98.49999999999994,100.0
10,61,431.99999999999994,328.8354097656379,True,False,98.34999999999994,100.0
11,56,527.9999999999999,333.9712327168097,True,False,98.19999999999993,100.0
12,44,431.99999999999994,338.1213765532257,True,False,98.04999999999993,100.0
13,41,144.0,339.37076967045954,True,False,97.89999999999992,100.0
14,34,384.0,343.01391582210726,True,False,97.74999999999991,100.0
15,31,96.0,343.75884624299675,True,False,97.59999999999991,100.0
16,32,288.0,346.42005201178176,True,False,97.4499999999999,100.0
17,35,335.99999999999994,349.54795175172285,True,False,97.2999999999999,100.0
18,43,239.99999999999997,351.7002119929642,True,False,97.14999999999989,100.0
19,37,384.0,355.28171093299943,True,False,96.99999999999989,100.0
