time_step,neutron_id,x,y,type
0,0,9,5,fast
0,1,10,12,fast
0,2,8,1,fast
0,4,8,5,epithermal
0,5,13,6,epithermal
0,8,1,10,epithermal
0,9,9,9,fast
0,10,5,14,fast
0,12,2,10,epithermal
0,13,9,10,fast
0,14,5,9,epithermal
0,15,8,10,fast
0,16,3,9,fast
0,17,4,4,epithermal
0,18,6,9,fast
0,19,1,9,fast
0,20,6,14,fast
0,21,4,4,fast
0,22,2,7,fast
0,23,6,5,fast
0,25,11,12,fast
0,26,11,13,epithermal
0,29,12,5,fast
0,31,8,11,fast
0,32,4,1,epithermal
0,33,12,3,epithermal
0,34,3,3,fast
0,35,3,9,fast
0,36,14,5,fast
0,37,4,2,fast
0,38,10,8,fast
0,39,9,6,fast
0,42,2,1,fast
0,43,8,7,fast
0,44,4,0,fast
0,45,8,3,fast
0,46,2,12,fast
0,47,13,7,epithermal
0,49,3,9,fast
0,50,7,3,fast
0,51,7,8,fast
0,52,1,0,fast
0,53,10,9,fast
0,54,11,9,fast
0,56,10,7,fast
0,57,2,4,fast
0,58,4,6,fast
0,59,1,6,epithermal
0,60,11,13,epithermal
0,61,12,12,epithermal
0,63,4,0,fast
0,66,11,13,fast
0,67,1,6,epithermal
0,68,3,12,fast
0,71,5,2,epithermal
0,72,13,2,fast
0,73,11,3,epithermal
0,74,6,1,fast
0,78,11,12,epithermal
0,79,6,9,fast
0,81,12,5,fast
0,82,10,2,fast
0,83,2,13,fast
0,85,1,6,epithermal
0,86,8,13,fast
0,87,10,3,epithermal
0,88,7,5,fast
0,89,7,10,fast
0,90,8,13,fast
0,91,8,12,fast
0,93,7,7,fast
0,94,2,1,fast
0,95,13,6,fast
0,96,11,1,fast
0,99,3,2,fast
0,101,4,12,epithermal
0,103,2,9,fast
0,104,3,5,fast
0,106,11,12,epithermal
0,108,0,5,fast
0,109,14,6,fast
0,111,6,10,fast
0,115,12,5,fast
0,116,2,5,fast
0,119,5,11,epithermal
0,123,4,6,fast
0,126,3,4,fast
0,127,3,8,fast
0,128,10,13,fast
