time_step,neutron_id,x,y,type
0,0,12,7,fast
0,1,6,11,fast
0,2,5,7,fast
0,8,14,2,fast
0,10,1,11,fast
0,12,9,8,fast
0,13,6,12,fast
0,14,9,1,fast
0,16,1,0,fast
0,18,10,1,fast
0,21,11,10,fast
0,24,4,1,fast
0,27,2,7,fast
0,28,10,5,epithermal
0,30,7,5,fast
0,31,10,2,epithermal
0,32,4,4,fast
0,33,3,12,fast
0,34,5,9,fast
0,35,14,10,fast
0,36,8,6,epithermal
0,37,1,4,epithermal
0,38,12,0,fast
0,39,13,9,fast
0,42,7,4,fast
0,43,5,6,fast
0,45,14,13,epithermal
0,47,11,7,epithermal
0,48,14,4,fast
0,49,10,6,fast
0,50,5,7,epithermal
0,51,3,6,fast
0,52,14,2,epithermal
0,53,9,2,fast
0,54,9,13,epithermal
0,55,13,12,fast
0,56,11,7,fast
0,58,10,14,fast
0,59,1,10,epithermal
0,61,13,6,fast
0,63,9,10,epithermal
0,64,3,5,fast
0,66,5,9,fast
0,68,0,14,fast
0,71,2,11,fast
0,72,1,14,epithermal
0,73,13,6,fast
0,74,9,11,epithermal
0,77,1,5,fast
0,78,9,5,fast
0,79,3,11,fast
0,80,5,4,fast
0,81,1,3,fast
0,82,12,0,fast
0,83,7,12,fast
0,84,13,1,fast
0,86,4,1,fast
0,87,14,6,fast
0,88,3,5,epithermal
0,89,7,10,fast
0,90,11,8,epithermal
0,91,3,5,fast
0,92,7,9,fast
0,95,10,7,epithermal
0,96,3,1,fast
0,97,12,1,fast
0,98,3,4,fast
0,100,6,7,fast
0,102,2,11,fast
0,104,7,9,fast
0,106,13,11,fast
0,107,7,6,fast
0,109,7,5,fast
0,110,11,0,fast
0,111,12,2,fast
0,113,3,11,fast
0,114,3,4,epithermal
0,115,7,3,fast
0,118,1,3,fast
0,119,1,6,fast
0,120,12,6,fast
0,122,1,8,epithermal
0,123,8,1,fast
0,124,4,6,epithermal
0,125,14,7,fast
0,129,4,10,fast
0,130,3,10,fast
0,132,9,1,epithermal
0,133,10,6,epithermal
0,134,11,9,fast
0,135,10,5,epithermal
0,137,9,8,fast
0,138,8,14,fast
0,139,13,5,fast
0,141,8,10,fast
0,142,1,14,fast
0,143,7,5,fast
0,145,4,2,fast
0,146,11,8,fast
0,149,10,13,fast
0,151,11,10,fast
0,152,6,11,epithermal
0,153,3,2,fast
0,155,4,4,fast
0,158,8,9,fast
0,159,9,8,epithermal
0,160,5,5,fast
0,161,9,3,fast
0,162,4,5,fast
0,166,9,2,fast
0,167,9,10,fast
0,169,4,12,fast
0,170,1,10,fast
0,172,11,7,epithermal
0,173,12,4,fast
0,174,7,5,epithermal
0,175,1,0,fast
0,176,6,0,fast
0,177,1,9,epithermal
0,179,1,9,fast
0,182,4,5,fast
0,183,0,3,fast
0,187,8,8,fast
0,189,7,5,epithermal
0,190,12,3,fast
0,191,3,11,epithermal
0,193,9,2,fast
0,195,1,5,epithermal
0,196,7,1,epithermal
0,197,7,3,epithermal
0,199,14,3,fast
1,0,11,6,epithermal
1,1,4,11,epithermal
