time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
0,131,0.0,300.0,True,False,99.85,100.0
1,82,0.0,300.0,True,False,99.69999999999999,100.0
2,60,0.0,300.0,True,False,99.54999999999998,100.0
3,58,144.0,301.44,True,False,99.39999999999998,100.0
4,54,431.99999999999994,305.7528,True,False,99.24999999999997,100.0
5,59,527.9999999999999,311.004036,True,False,99.09999999999997,100.0
6,62,431.99999999999994,315.26901582,True,False,98.94999999999996,100.0
7,66,384.0,319.0326707409,True,False,98.79999999999995,100.0
8,69,479.99999999999994,323.73750738719554,True,False,98.64999999999995,100.0
9,72,384.0,327.45881985025954,True,False,98.49999999999994,100.0
10,75,431.99999999999994,331.64152575100826,True,False,98.34999999999994,100.0
11,86,384.0,335.3233181222532,True,False,98.19999999999993,100.0
12,73,576.0,340.90670153164194,True,False,98.04999999999993,100.0
13,78,431.99999999999994,345.02216802398374,True,False,97.89999999999992,100.0
14,75,624.0,351.0370571838638,True,False,97.74999999999991,100.0
15,54,624.0,357.0218718979445,True,False,97.59999999999991,100.0
16,55,239.99999999999997,359.1367625384548,True,False,97.4499999999999,100.0
17,49,479.99999999999994,363.6410787257625,True,False,97.2999999999999,100.0
18,55,239.99999999999997,365.7228733321337,True,False,97.14999999999989,100.0
19,52,431.99999999999994,369.71425896547305,True,False,96.99999999999989,100.0
