time_step,neutron_id,x,y,type
0,0,3,0,epithermal
0,1,6,11,epithermal
0,3,0,9,epithermal
0,4,3,14,fast
0,5,9,13,epithermal
0,7,2,12,epithermal
0,8,10,9,fast
0,10,13,12,epithermal
0,12,3,9,fast
0,14,4,7,fast
0,20,13,11,fast
0,23,0,12,fast
0,24,3,5,fast
0,25,12,12,epithermal
0,26,9,6,epithermal
0,29,13,14,epithermal
0,31,8,8,fast
0,32,5,13,fast
0,33,5,8,fast
0,34,12,8,fast
0,35,4,5,fast
0,37,2,9,fast
0,38,7,3,fast
0,39,9,12,fast
0,41,11,5,epithermal
0,42,14,0,fast
0,43,5,6,fast
0,45,11,6,epithermal
0,46,14,14,epithermal
0,47,4,2,fast
0,48,6,7,fast
0,51,11,4,epithermal
0,52,3,6,fast
0,54,13,10,fast
0,57,2,5,fast
0,58,12,8,fast
0,59,3,11,epithermal
0,60,2,12,epithermal
0,62,8,10,epithermal
0,63,6,1,fast
0,67,5,8,fast
0,69,1,3,fast
0,70,11,12,epithermal
0,71,7,11,fast
0,72,3,11,fast
0,75,11,0,fast
0,76,12,0,fast
0,80,4,0,fast
0,81,6,9,fast
0,82,13,1,fast
0,83,4,7,epithermal
0,84,9,13,fast
0,85,13,2,fast
0,86,12,5,fast
0,87,4,11,fast
0,88,5,13,fast
0,90,13,5,fast
0,91,5,0,fast
0,92,3,2,fast
0,94,9,6,fast
0,95,2,0,fast
0,96,11,8,epithermal
0,97,14,8,fast
0,98,4,9,fast
0,99,13,9,fast
0,100,9,10,fast
0,103,1,7,epithermal
0,104,8,5,fast
0,105,14,3,fast
0,106,14,7,fast
0,108,6,3,fast
0,109,13,10,fast
0,110,14,12,fast
0,111,14,13,fast
0,113,4,7,epithermal
0,117,10,7,fast
0,118,0,3,epithermal
0,119,10,1,fast
0,121,9,4,fast
0,123,12,0,fast
0,124,10,3,epithermal
0,125,6,12,fast
0,129,4,8,epithermal
0,131,7,9,fast
0,132,2,2,fast
0,133,5,0,fast
0,134,6,13,fast
0,136,11,12,fast
0,137,2,4,fast
0,138,5,5,fast
0,139,2,11,epithermal
0,140,5,3,fast
0,142,10,7,fast
0,143,8,4,fast
0,144,10,2,epithermal
0,145,10,7,fast
0,146,8,6,epithermal
0,147,3,5,fast
0,148,1,8,fast
0,149,10,14,epithermal
0,150,8,9,fast
0,151,10,11,fast
0,152,5,2,epithermal
0,153,0,4,fast
0,155,3,11,fast
0,156,3,7,fast
0,157,1,1,fast
0,159,7,13,fast
0,160,13,2,epithermal
0,163,9,13,epithermal
0,166,9,10,fast
0,169,2,4,fast
0,172,6,6,fast
0,173,9,7,epithermal
0,174,9,7,fast
0,176,7,9,fast
0,177,8,1,fast
0,178,5,3,fast
0,180,13,4,fast
0,181,7,11,fast
0,182,13,4,epithermal
0,185,6,7,fast
0,188,8,14,epithermal
0,189,13,13,epithermal
0,190,8,6,fast
0,193,0,9,epithermal
0,197,6,12,fast
0,199,6,5,fast
1,0,4,0,epithermal
1,1,5,9,epithermal
1,3,2,10,epithermal
1,5,9,12,thermal
1,7,2,13,epithermal
1,8,11,8,fast
1,10,13,10,thermal
1,12,4,8,epithermal
1,24,2,5,fast
1,26,11,7,epithermal
1,29,13,12,epithermal
1,31,6,8,fast
1,33,5,10,fast
1,34,14,10,fast
1,35,3,6,epithermal
1,37,2,11,fast
1,38,5,3,fast
1,39,8,14,fast
1,41,11,6,thermal
1,43,7,5,fast
1,45,10,4,thermal
1,47,3,2,epithermal
1,48,4,9,fast
1,52,1,7,fast
1,58,13,10,fast
1,59,5,13,thermal
1,60,0,11,thermal
1,63,7,2,fast
1,67,5,7,fast
1,69,1,5,fast
1,70,12,10,thermal
1,71,9,12,fast
1,72,4,9,fast
1,75,9,2,epithermal
1,80,5,2,fast
